asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
B00J4S6YWC,"[0, 0]",5,"ARC provided by author in exchange for an honest reviewThis is the first time I have read a book by Miranda P. Charles and it will not be my last.This book had it all - broken hearts, twisted stories, lies, scared and confused lovers. Zach and Rebecca met when she was hired as a private nurse for his grandmother after she had surgery. They dated for four months, until Rebecca said the three little words that Zach could not say back. Rebecca then breaks it off before he has a chance to.Months later, she has been hired again to join his grandmother on a month long cruise for her birthday, as her nurse. His grandmother also has friends and her grandsons joining her for this birthday celebration.  As they cruise around, can Rebecca and Zach work through their fears and misunderstandings to find love again?A very sexy, quick read that you will not be able to put down!!!","06 21, 2014",AUSBN91MCI3WM,Nancy M,A Very Sexy Cruise,1403308800
B00HCZUBH8,"[2, 4]",5,"Wild Ride by Nancy WarrenChanging Gears SeriesDuncan Forbes is a professor and he's on sabbatical while he writes and searches for lost and stolen art. Following a lead on a long lost Van Gogh leads him to the small town of Swiftcurrent, Oregon...with the sexiest librarian he's ever seen.Alexandra Forrest has an agenda. Now that her grandfather has passed away, she plans on finishing the details of writing his memoirs and packing up his home to sell. Then move to the big city to complete her life plan. One that definitely does not include the sexy stranger in her library.Gillian Forrest Munn messed up her life big time as a teen and small towns don't forget. Now that her husband left her, she's alone again and only Officer Tom Perkins seems to really believe she has changed.A dead body in the library in this quiet town changes everything. Things like this don't happen here. A steamy romance and murder mystery are only two of the happenings going on. Another page turner story.**Strong sexual content and language","03 3, 2014",A141H51I3H4B1S,Jutzie,A Changing Gears Novel,1393804800
B006RZNR3Y,"[0, 0]",5,"Well thought out story, with many things going on at the same time. An alien race jumps into earth orbit and destroys major earth cities, then tells us to stop some of our technologies. Then the fun begins! A helpful alien on our side and a love story with a twist! Good read!","07 10, 2014",AP8TKDM76TROZ,azbill54,"We don't take kindly to ""no""!",1404950400
B00J47H8H8,"[3, 4]",3,"This is book four of a five part serial.  By now, the suspense should be at its highest.  It's not.  I'm liking Jess less and less with each book.  We are learning more but none of it makes sense.  I just have a feeling this is all going to end very badly.","03 21, 2014",A19DWIC1T7127Y,T,I'm losing interest,1395360000
B00LRZLRMM,"[0, 0]",5,"I really enjoyed this book. It kept me interested from page one all the way to the end. The author made the story feel real and she knew how to draw in the audience and keep them fully interested. This story is about Scott and Winnie who you previously meet in Changing His Game which I highly recommend you read first. The chemistry between the two was explosive and I swear I thought my kindle was going to melt. The book has some interesting turns and events, and along the way you meet characters you won't forget as you embark on a helluva journey of sex, love and forgiveness.","07 14, 2014",AM5P5MI4PU2KH,Vida,Boner Brothers,1405296000
B00DWGFFBI,"[3, 4]",5,"PLEASURING THE LADY by Jess Michaels is an exciting Regency Historical Romance set in 1814 London. #2 in &#8220;The Pleasure Wars&#8221;,but can be read as a stand alone. See,&#8221;Taken by the Duke&#8221;. What an interesting tale of a man who believes he can not fall in love or love anyone and the woman who proves him wrong. Join, Lady Portia and  Marquis Miles Weatherfield on a journey of discovery of both their passion and their feelings for each other. They discovery some things are far more deeper than flesh. Filled with lies,secrets,voyeurism,passion,scandal,sizzling sensuality,a brief threesome encounter,kindness,very wicked encounters,and the power of love. A very erotic romance! Well written! The sensual encounters is well written with taste,but &#8220;Pleasuring The Lady&#8221; is not all about the sensual encounters,it is so much more than an erotic tale! Ms. Michaels is a masterful storyteller to passion and love. I love this series, and am looking forward to the next installment. Well done!! A must read if you enjoy historical romances,with a few twists and turns, as well as sensual encounters of the loving kind. Received for an honest review from the author.RATING: 4.5HEAT RATING: WILD RIDEREVIEWED BY: AprilR, Review courtesy of My Book Addiction and More","11 19, 2013",AM09IO8QXEB1B,"My Book Addiction and More ""MyBookAddictionAn...",SENSUAL ENCOUNTERS OF THE LOVING KIND! A MUST READ!!,1384819200
B00ALUMW96,"[4, 4]",3,"There are numerous books written on the subject of survival and disaster preparedness. While it does contain good information, it really doesn't make it to the top of the heap.In a guide specifically marketed to beginners, I really don't expect a ton of detail, but this book did surprise me with a a decent amount of detail. Yes, there is some helpful information in this book and even a decent amount of it, but the writing style and numerous grammatical errors found throughout are what lead me to pass on a recommendation.I gave it the amazon 3-stars for ""It's OK"". I was glad that I picked it up while it was available for free, but I'm also glad that I didn't pay for it.If you enjoy reading about prepping and survival preparedness, I also recommendUltralight Survival: Make a Small and Light Bug Out Bag That Could Save Your Life.","08 5, 2013",A1SKME00QMJR6,"J. Robideau ""Rob""","Some Good Advice, Not The Best Book on This Subject",1375660800
B004SUP1XO,"[0, 1]",5,The story is about mom  duck was making baby duck and the mom duck had  three Baby and there were  one big baby the mom duck think that is aturkey,"12 4, 2012",AIE9O8ERPUDFP,sili toa,Hans  Christian. Anderson,1354579200
B008HIS978,"[0, 0]",4,"John Summit digs deep into the lives and minds of convicted child killers to get to the bottom of the mysterious murders of their parents. From the gruesome murder of Lizzie Borden's parents to the tragic case of the Mendendez brothers, Summit explains what happened and possibly why.","02 3, 2013",A1O520F3QK4RUP,"Janackeh Blackwell ""jan""",intriguing read,1359849600
B007P7HX4M,"[0, 0]",3,"This book is too much a romantic novel for me. Too much breast-heaving and her striking irresistable charms,etc. etc. would not buy it again. Would be good if you like that sort of thing.","03 27, 2013",A3K00I3A56J95G,Marj,fair,1364342400
